ESTBAN (Documento 4500) por municipio 
Data de geracao dos dados: 2021-03-01
#DATA_BASE;UF;CODMUN;MUNICIPIO;CNPJ;NOME_INSTITUICAO;AGEN_ESPERADAS;AGEN_PROCESSADAS;VERBETE_110_ENCAIXE;VERBETE_111_CAIXA;VERBETE_112_DEPOSITOS_BANCARIOS;VERBETE_113_BACEN_RESERV_BANC_EM_ESPECIE;VERBETE_114_APLIC_TEMPORARIAS_EM_OURO;VERBETE_120_APLIC_INTERFINANC_DE_LIQUIDEZ;VERBETE_130_TIT_E_VAL_MOB_E_INST_FIN_DERIV;VERBETE_140_REL_INTERFINANC_E_INTERDEPEND;VERBETE_141_CORRESPONDENTES_NO_EXTERIOR + VERBETE_142_CORRESPONDENTES_NO_PAIS;VERBETE_143_DEPEND_MATRIZ_E_CONGENERES_NO_EXTERIOR_EM;VERBETE_144_COBRANCA_EM_TRANSITO + VERBETE_145_ORDENS_DE_PAGAMENTO	+ VERBETE_146_VAL_LIGADAS_E_TERC_EM_TRANSITO + VERBETE_147_DEPENDENCIAS_NO_PAIS	+ VERBETE_152_SUPRIMENTOS_INTERDEPENDENCIAS;VERBETE_153_RELACOES_COM_A_CARTEIRA_DE_CAMBIO_E_DE_DESENVOL;VERBETE_158_OUTR_REL_INTERF_E_INTERDEPEND;VERBETE_160_OPERACOES_DE_CREDITO;VERBETE_161_EMPRES_E_TIT_DESCONTADOS;VERBETE_162_FINANCIAMENTOS;VERBETE_163_FIN_RURAIS_AGRICUL_CUST/INVEST;VERBETE_164_FIN_RURAIS_PECUAR_CUST/INVEST;VERBETE_165_FIN_RURAIS_AGRICUL_COMERCIALIZ;VERBETE_166_FIN_RURAIS_PECUARIA_COMERCIALIZ;VERBETE_167_FINANCIAMENTOS_AGROINDUSTRIAIS+VERBETE_168_RENDAS_A_APROPRIAR_FINANC_RURAIS_AGROINDUSTRIAIS;VERBETE_169_FINANCIAMENTOS_IMOBILIARIOS;VERBETE_171_OUTRAS_OPERACOES_DE_CREDITO;VERBETE_172_OUTROS_CREDITOS;VERBETE_173_CREDITOS_EM_LIQUIDACAO;VERBETE_174_PROV_P/_OPER_CREDITOS;VERBETE_176_OPERACOES_ESPECIAIS;VERBETE_180_ARRENDAMENTO_MERCANTIL;VERBETE_184_PROV_P/OPER_ARR_MERCANTIL;VERBETE_190_OUTROS_VALORES_E_BENS;VERBETE_200_PERMANENTE;VERBETE_300_CONTAS_DE_COMPENSACAO;VERBETE_399_TOTAL_DO_ATIVO;VERBETE_401_SERVICOS_PUBLICOS + VERBETE_402_ATIVIDADES_EMPRESARIAIS + VERBETE_403_ESPECIAIS_DO_TESOURO_NACIONAL + VERBETE_404_SALDOS_CREDORES_EM_CONTAS_DE_EMPRESTIMOS_E_FINAN + VERBETE_411_DE_PESSOAS_FISICAS + VERBETE_412_DE_PESSOAS_JURIDICAS + VERBETE_413_DE_INSTITUICOES_FINANCEIRAS + VERBETE_414_JUDICIAIS + VERBETE_415_OBRIGATORIOS + VERBETE_416_PARA_INVESTIMENTOS + VERBETE_417_VINCULADOS + VERBETE_418_DEMAIS_DEPOSITOS + VERBETE_419_SLD_CRED_CTAS_EMPR_FINANC_OUTR;VERBETE_420_DEPOSITOS_DE_POUPANCA;VERBETE_430_DEPOSITOS_INTERIFNANCEIROS;VERBETE_431_DEPOSITOS_INTERFINANCEIROS;VERBETE_432_DEPOSITOS_A_PRAZO;VERBETE_433_CAPTACEOS_NO_MERCADO_ABERTO;VERBETE_440_REL_INTERFINANC_E_INTERDEPEND;VERBETE_441_CORRESPONDENTES_NO_EXTERIOR + VERBETE_442_CORRESPONDENTES_NO_PAIS;VERBETE_443_DEPENDENCIAS_MATRIZ_E_CONGENERES_NO_EXTERIOR;VERBETE_444_COBRANCA_EM_TRANSITO + VERBETE_445_ORDENS_DE_PAGAMENTO + VERBETE_446_VAL_DE_LIG_E_TERC_EM_TRANSITO + VERBETE_447_DEPENDENCIAS_NO_PAIS + VERBETE_456_SUPRIM_INTERDEPARTAMENTAIS + VERBETE_458_OUTR_REL_INTERFIN_INTERDEPEND;VERBETE_457_RELACOES_COM_A_CARTEIRA_DE_CAMBIO_E_DE_DESENVOLV;VERBETE_460_OBRIG_POR_EMP_E_REPASSES;VERBETE_461_BANCO_CENTRAL_ASSISTENCIA_FINANCEIRA + VERBETE_462_REDESCONTO + VERBETE_463_REFINANCIAMENTOS + VERBETE_467_OPERACOES_ESPECIAIS + VERBETE_468_OUTR_OBRIG_POR_EMPR_E_REPASSES;VERBETE_470_INST_FINANCEIROS_DERIVATIVOS;VERBETE_480_OBRIGACOES_POR_RECEBIMENTO;VERBETE_481_IOF + VERBETE_482_CONTRIBUICOES_PREVIDENCIARIAS + VERBETE_483_TRIBUTOS_ESTAD_E_MUNICIPAIS + VERBETE_484_TRIBUTOS_FEDERAIS + VERBETE_485_FGTS + VERBETE_487_DEMAIS_RECEBIMENTOS;VERBETE_486_PIS/PASEP;VERBETE_490_CHEQUES_ADMINISTRATIVOS + VERBETE_500_OUTRAS_OBRIGACOES;VERBETE_610_PATRIMONIO_LIQUIDO;VERBETE_710_CONTAS_DE_RESULTADO;VERBETE_711_CONTAS_CREDORAS;VERBETE_712_CONTAS_DEVEDORAS;VERBETE_800_CONTAS_DE_COMPENSACAO;VERBETE_899_TOTAL_DO_PASSIVO;CODMUN_IBGE
202012;AC;1030;MANCIO LIMA;00000000;BCO DO BRASIL S.A.;1;1;594552;594552;0;0;0;0;0;794887;11774;0;783112;;0;34494860;26536095;872301;3748998;0;0;0;0;254599;0;3082868;0;0;0;0;0;5113;0;9091937;44981350;3509906;14403322;538536;0;538536;0;13298402;0;0;13298402;0;0;0;0;573;573;0;388744;0;3749929;4229400;-479470;9091937;44981350;1200336
202012;AC;5184;MANOEL URBANO;00360305;CAIXA ECONOMICA FEDERAL;1;1;1379364;1379364;0;0;0;0;0;-2954075;56852;0;22411;;-3033338;16296335;12274017;55524;0;0;0;0;0;5520468;115670;0;0;-1669345;0;0;0;145446;0;49792885;64659954;2163281;11746025;100184;0;100184;0;46231;1980;0;44251;0;0;0;0;4436;4436;0;228347;0;578565;1641128;-1062562;49792885;64659954;1200344
202012;AC;9465;ASSIS BRASIL;00360305;CAIXA ECONOMICA FEDERAL;1;1;1823718;1823718;0;0;0;0;0;-2663434;88923;0;7197;;-2759554;8408764;8310145;92519;0;0;0;0;0;481061;0;0;-31;-474930;0;0;0;0;0;22148502;29717550;1192893;5296388;149968;0;149968;0;22675;200;0;22475;0;0;0;0;1439;1439;0;261749;0;643936;981936;-338000;22148502;29717550;1200054
202012;AC;15978;FEIJO;00000000;BCO DO BRASIL S.A.;1;1;2507025;2507025;0;0;0;0;0;1541857;0;0;1541857;;0;29188627;15085862;296042;11222402;0;0;0;0;153484;0;2430837;0;0;0;0;0;6020;0;8202311;41445839;5948051;6897815;1478436;0;1478436;0;16429555;0;0;16429556;0;0;0;0;1626;1626;0;325744;0;2162301;2934809;-772508;8202311;41445839;1200302
202012;AC;15978;FEIJO;00360305;CAIXA ECONOMICA FEDERAL;1;1;3782317;3782317;0;0;0;0;0;-16992571;119256;0;42884;;-17154711;33865556;20810564;76119;0;0;0;0;0;14088329;149031;0;-7;-1258480;0;0;0;684029;0;75055273;96394604;1852681;15235405;1646211;0;1646211;0;48915;1170;0;47745;0;0;0;0;123469;123469;0;175321;0;2257329;3008278;-750949;75055273;96394604;1200302
202012;AC;15978;FEIJO;04902979;BCO DA AMAZONIA S.A.;1;1;357678;357678;0;0;0;0;0;10290179;0;0;10290179;;0;3622793;3552778;0;0;0;0;0;0;0;0;70015;0;0;0;0;0;0;0;63039990;77310640;6484171;7007442;329723;0;329723;0;0;0;0;0;0;0;0;0;128;128;0;24400;0;424785;585563;-160779;63039990;77310640;1200302
202012;AC;18690;XAPURI;00000000;BCO DO BRASIL S.A.;1;1;1539764;1539764;0;0;0;0;0;2868788;1347;0;2867441;;0;48677876;15650063;656266;29547238;0;0;0;0;0;0;2824309;0;0;0;0;0;7430;0;13766987;66860845;5839938;17842259;2481761;0;2481761;0;23893035;0;0;23893035;0;0;0;0;2612;2612;0;399482;0;2634771;3791237;-1156467;13766987;66860845;1200708
202012;AC;18690;XAPURI;04902979;BCO DA AMAZONIA S.A.;1;1;367841;367841;0;0;0;0;0;7510300;0;0;7509871;;428;3801198;3562842;0;192582;0;0;0;0;0;0;45774;0;0;0;0;0;0;0;79749789;91429128;5102798;5910109;252641;0;252641;0;0;0;0;0;0;0;0;0;88;88;0;59796;0;353907;464285;-110377;79749789;91429128;1200708
202012;AC;27478;TARAUACA;00000000;BCO DO BRASIL S.A.;1;1;2824434;2824434;0;0;0;0;0;5815537;5222;0;5810315;;0;84815208;49475492;1620137;26280097;0;0;0;77436;1688482;0;5673564;0;0;0;0;0;10402;0;34622834;128088415;5945842;19932389;6269131;0;6269131;0;53984149;0;0;53984149;0;0;0;0;2147;2147;0;543970;0;6787951;8568877;-1780926;34622834;128088415;1200609
202012;AC;27478;TARAUACA;00360305;CAIXA ECONOMICA FEDERAL;1;1;4045517;4045517;0;0;0;0;0;-29268340;17738;0;101207;;-29387285;57150083;38426872;74868;75420;0;0;0;0;20169148;1209308;0;-350;-2805183;0;0;0;676682;0;117183214;149787156;3403020;21176774;1650003;0;1650003;0;86753;520;0;86233;0;0;0;0;40479;40479;0;2269383;0;3977530;5832553;-1855023;117183214;149787156;1200609
202012;AC;27478;TARAUACA;04902979;BCO DA AMAZONIA S.A.;1;1;262038;262038;0;0;0;0;0;10067819;0;0;10067341;;478;3639285;3400631;0;159529;0;0;0;0;0;0;79125;0;0;0;0;0;0;0;64268000;78237142;5643832;7782858;102814;0;102814;0;1357;0;0;1357;0;0;0;0;30973;30973;0;11165;0;396143;536530;-140387;64268000;78237142;1200609
202012;AC;29074;SENA MADUREIRA;00000000;BCO DO BRASIL S.A.;1;1;1926651;1926651;0;0;0;0;151381;4410497;0;0;4410497;;0;140740729;41716160;2007014;89524237;0;0;0;0;1583889;97790;5811639;0;0;0;0;0;13374;0;32121216;179363848;13820213;22859038;24466194;0;24466194;0;77678075;0;0;77678075;0;0;0;2;4328;4328;0;753592;0;7661189;8983884;-1322695;32121216;179363848;1200500
202012;AC;29074;SENA MADUREIRA;00360305;CAIXA ECONOMICA FEDERAL;1;1;2047771;2047771;0;0;0;0;0;-7578168;0;0;50450;;-7628618;54227872;25227106;268811;1623;0;0;0;0;30294274;294235;0;-1167;-1857010;0;0;0;4316023;0;214312776;267326275;4908335;42511414;1678266;0;1678266;0;186427;100;0;186327;0;0;0;0;20605;20605;0;897581;0;2810871;6030343;-3219472;214312776;267326275;1200500
